Doctor,Reviews
"Dr. Marcus Wing, DO","['Dr. Wing was great he will definitely be my next primary care provider!

Dr Wing is very well informed in all the medication I use. A common sense approach to treating all my health issues.

Dr. Wing is very down to earth and answers any questions I have.  He is very kind and patient.

I so appreciate the amazing service Dr. Wing provides.  He is extremely knowledgeable and explained his concerns and the possible options, clearly.  It’s rare to find a doctor that is humble and clearly cares about the cause of a medical issue more than just prescribing random meds.  He is a blessing!!!

The facility is very nice and the doctor was a pleasure to interface with. He has a vast knowledge of the medical field.

My experience is totally different with Dr. Wing than other doctors, he will never recommend to have unnecessary medication... If u can be better with exercises and precautions and healthy diet he will recommend you that... I really like his way of treatment. Great personality.', ""I am very fortunate to have Dr. Marcus Wing as my primary care physician. He is very practical, motivating and doesn't prescribe any unnecessary medication. He was able to treat my Bronchitis and I started feeling better in few days."", 'Dr. Wing is a very knowledgeable doctor who looks after his patients well. He also works out of a new facility which results in a comfortable efficient experience.

After multiple injuries not fully treated by the military, Dr. Wing put in a immediate referral without any run around. He understood my concerns and wanting to feel normal again. Great overall experience!

Bottom line this is your PHP \nDr Wing is what I call Today’s doctorNew ideas, treatments etc. \nnot judgmental or lecturing/condescending at all. Have recommended him to others \nAgree with all these positive reviews from other patients.

New Patient Visit

Listens and takes action. Have recommended him before and will continue.', ""I recently switched doctors and chose Dr. Marcus Wing and couldn't be more pleased. The office staff was great, the space is new and very well kept. My first appointment with Dr. Wing, he took his time, asked plenty of questions and made a few recommendations regarding my overall health which was very reassuring, showing he has my best interest in mind. I highly recommend Dr. Wing if you are searching for a new healthcare provider."", 'Dr Wing isn’t my normal PCP but I was able to get in due to a cancellation and happy I did. He was great and thorough, I would highly recommend him!!!

Amazing! Young doctor that is up to date on medical issues. Treats you like you are a family member. Listens and truly verifies then talks to you in normal conversation instead of trying to impress you with his doctor talk.

Excellent and quick.

Dr. Wing is kind, listens to you and works with you regarding health changes.  He has given me great suggestions and believes you can make a change. The staff is amazing. Gahanna Ohio

Not my regular doc but took time to see me- much appreciated. He was able to resolve my issue

Great Doctor ! I love his personality and the fact that he follows up with his patiences ! I would recommend him to some one looking for a PCP .

Dr Wing is the best doctor I’ve ever seen!  He actually listens and doesn’t toss some antidepressants at me to get me out the door. He understands the woes of everyday people and is very accommodating. ']"
,
"Dr. Kevin Via, MD","['New patient visit.  He seems very  friendly, and is thorough

Covered all concerns professionally and friendly.

Dr. Via has an excellent bedside manner, and quickly diagnosed my problem, sent in prescriptions to my pharmacy and sent me on my way. A painless visit resulted.

The doctor was very helpful with my health and he gave me good recommendations and advice on how to improve my health.\t

The physician was attentive to my needs and recommended PT services which have been very helpful to me.\t

Dr. Via acted as if were his only patient. Answered all my questions, asking what my concerns were. Could not have asked for more! Virtually no wait time. Family like atmosphere, all staff smiling cordial professional.\t

Thorough. Listens well. Very observant. Follows through well. Patient with my difficulties. Courteous.\t

Thank you DR Via for finding the correct meds to calm down my cough. You are the BEST\t

Was able to see the doctor quickly. The staff was very friendly and helpful. Dr. Via was easy to talk to.\t

I am always treated well when I come in. I not ever walked out feeling as if no one cared. Everyone is very attentive.\t

Great doctor visit. Dr Via and the staff all get 5 STARS from me for a job well done!\t

Everything was great. Both Dr. Via and doctor from Chapel Hill were great. Completely understood my situation. Thanks much.\t

As always I was impressed with Dr Via and his nurse as well as all staff!\t

Reception staff was friendly and efficient as usual. Wait time was less than 5 min. Nurse who brought me to room was pleasant and efficient. Dr Via was in less than 2 min after nurse left. He introduced himself and examined me and made recommendations. Was very pleasant and professional\t

Short wait to see Dr. Via. He was very personable and thorough. Attentive to my needs and offered good guidance and medications to help with the problem

Very nice doctor. Spends time with you and listens to what you have to tell him.

First time there and first impression was very favorable!  Office staff and medical personnel were friendly and efficient.  I am looking forward to working with Dr. Via as I work through the challenges of getting older.

The whole group st the medical office is excellent and is aware of the importance of my time. Dr Via does a great job

I’m a new patient of Dr. Via and am very pleased with my choice for medical care. The entire staff was very polite and helpful.

I called in to this office to set an appointment for a relative. The woman who helped me was clearly empowered to do her utmost to take care of my needs and so I decided to set an appointment for myself as well. I am a very picky patient and expect the utmost in efficiency, people-skills, and professionalism. On my initial visit to the office every person was impeccably patient-centered. This place runs extremely smoothly and the employees are obviously treated well by the company or there would']"
,
"Dr. Julian McLendon, MD","['They did a great job keeping contact between patients and staff to a minimum to prevent the spread of the China virus.

Very  nice Staff .love my Doc??

This office is always excellent!

Very caring doctor one of the best I have every been with.

Dr. McLendon has my complete trust. His honesty and skills I’ve never encountered in another doctor. All my family sees him too. He’s the doctor’s doctor. I tend to talk to strangers just standing in line, telling them about him and the staff at Eagles Landing Family Practice.

Awesome bedside manner, very thorough and actually listens. We have been seeing him for 3 years and would highly recommend. 

Very caring,friendly doctor. I have seen him for 12 years!

Answers all my questions in an easy to understand explanation. Explains the reason for any tests, and always has a positive attitude.

Doctor and staff very friendly . All problems and complaints have been taken care of to my satisfaction.

He is a carling Dr, and has helped me with my conditions.

Dr. McLendon has been my personal physician for almost 20 years and I would not consider seeing anyone other than him, he is simply the best at patient care.\r\n\r\n

Great Visit    He is a great doctor

Dr McClendon always spends whatever time it takes to see that our health issues are addressed. Our family thinks he is a great Doctor.', ""Personable, caring, completes blood work and tests recommended for our age and health status. Nurses are efficient. They are all very conscious about providIng timely service. If they are ever running a little behind schedule they will definitely apologize for any inconvenience to our schedule. Dr. McLendon has been our primary physician for 12 to 15 years and we hope he doesn't retire anytime soon."", ""Dr Mclendon is a great doctor. He is the only one that found something that helped with my disability there is no cure for it but what he prescribed help's with a lot"", 'Wonderful and careing person.

Dr. McLendon is great with my daughter. He is only one that provides the medicine for her ADD but he helps to make her feel comfortable about taking it. We never have to wait long and he is very attentive to my questions and concerns. ']"
,
Lauren Holland,"['regular 6 month visit

PA Cox was very much to the point and answered all questions 

lauren Holland and everyone else was courteous and professional

I really enjoyed this doctor appt. She listen she answer all my concerns an made me feel comfortable .I have not felt like this for a while now when I have a problem I will come to her an actual listen .She is not pushing medication she is giving  Solutions  .Thank you I feel at home now.

Lauren Cox has always been very friendly and has always taken the time to answer all my questions and concerns.', ""Lauren is a very thorough provider and I feel very comfortable seeing her. I'm very confident with letting her handle my health care needs and look forward to seeing her for many years."", ""Lauren is courteous and professional to me but is not afraid to confront me when I'm not following her instructions. She is a good medical provider and cares about her patients."", ""Lauren is compassionate and thorough. She is frank and never discounts the importance of a patient's self observations. "", 'Laura Holland Cox is an excellent Health Care professional. She is compassionate, listens to your health issues as well as your personal concerns. She answer your questions with medical knowledge that is easy to understand and which help you to make the best decisions that will resolve your overall health issues and concerns.\n\nI would recommend Lauren Holland to my family and friends. 

Lauren is very professional and compassionate in her patient care. She listens to the patient and then prescribes according to that info and accumalative info from patient exam.

My annual physical including 2 shots and blood work took less than an hour with hardly any wait time.  Lauren is personable and knowledgeable and cares about her patients.  I have also seen other doctors at this facility and would recommend them also.

Very caring and thorough with assessment. Doesn’t rush you out, takes time to talk through treatment options.

Ms Holland is very thorough and knowledgeable.  She spends a good amount of time with her patients; I never feel like I’m being rushed in and out.  Her medical assistants are also very pleasant professional. 

Lauren is very professional, always willing to listen and work with me (the patient) for the best solutions to my issues.  I feel very comfortable working with her and in the competence of her care. ', ""Lauren is thorough and caring.  She listens to all my worries and isn't afraid to schedule testing to make sure that all is ok.  She has called me back each and every time I have left a message and I never leave her office without being sure that we are fixing whatever is wrong."", 'She truly cares about her patients, easy to talk to and very thorough.  I would recommend her to anyone!

Lauren Holland is amazing. She’s always so positive that you can’t help but to feel comfortable. She listens and genuinely cares.', ""I've been her patient for 2years now and I love her. he listens to me about my conditions and she is very thorough and I like that. I always recommend her to people in search of a new doctor"", 'Mrs. Lauren Holland Cox is a wonderful doctor treats my grandmother but the upmost respect and does her best to make sure she stays healthy at all times and she has a wonderful nurse as well mrs. Francis.

Lauren has done a great job for me. She is very knowledgeable and easy to talk to. The response time for tests and further appointments have been the fastest I have ever experienced. I highly recommend her.']"
,
"Dr. Roxie Strand, NMD","[""She's an excellent doctor.  Everytime I try another doctor I come back to her.  She is the one who has helped me the most over the years. Patient,  empathetic and understanding.....qualities you usually don't find in doctors.  I would highly recommend Dr. Strand to anyone looking for excellent care."", ""Dr. Strand is fantastic. She is truly a remarkable doctor. I look forward to seeing her because she's not only very good at what she does, but she is extremely personable and kind. She has helped me tremendously in recovering from some more subtle and expansive problems that were having a huge toll on my life. More traditional doctors definitely have value in my opinion for a variety of problems, but if I had taken these problems to a normal doctor I don't think they would have been resolved. She's great!"", ""Dr. Roxie and her entire staff are the epitome of what a doctor's visit SHOULD be and feel like...professional, patient and helpful. I wish all of my other doctor appointments were this much fun. \n\nDr. Roxie rocks! "", 'I have never met a doctor that takes the time to LISTEN to you.  She truly cares and wants to help you get better, not just put a Band-Aid on.  ']"
,
"Dr. Mitchell Watanabe, MD","['Dr. Watanabe is a very professional and friendly physician

Excellent.  Very much content.

Dr Watanabe has been my Doctor for over 20 years and I consider him to be the best doctor I have had: he is on top of the latest treatments for the benefit of his patients. Always with the right answer  diagnostic and directions; his personality also helps to stablish a very good doctor-patient rapport.

Dr. Watanabe is very reassuring and empathetic, which goes a long way.

I have been a patient of Dr. Watanabe for 28 years or something - since Bristol Park Medical Group over on Baker St. in Costa Mesa back in the early 90s. I think he is thoughtful, thorough and interested in his patients.

Dr. Watanabe is always attentive and seems to genuinely care about me as a patient.

Ny last appointment was early we were able to instantly review my chest X-rays and all my labs. It was informative and complete.  Everyone here is always pleasant and helpful.', ""Dr. Watanabe is an outstanding  and caring doctor whom my family and I are so grateful to have. He is very thorough and decisive, knowledgeable and personable. We're so thankful to have a wonderful doctor like him."", ""Dr Watanabe  i have no words to explain how good he is, he listen and cares make me feel at ease i am lucky to say he's  doctor."", 'Dr. WATANABE Is the best of the best period. He always gives you the best care and always listens to his patients. He Is at the top of his profession because he CARES. Sincerely , David Corona.

Dr. Watanabe is caring, understanding, thorough, efficient, knowledgeable, professional and takes time to listen to my concerns. He is an outstanding doctor who is passionate about his work and truly cares for his patients and we all love him! BEST doctor!!!', ""Dr. W.  is just the best! He's a great doctor in every way. I'm a nurse and have worked with many doctors, and he's the best all around. Kind, caring, knowledgeable, professional and smart!"", 'Very helpful & knowledgeable

Dr. Watanabe’s is an amazing Dr. I love his attention to detail, patience,  the way he personally connects with each of his patients, sense of humor and the passion he has for his profession.

I am always impressed by Dr.\nWatanabe’s personal touch to offering excellent medical attention. He goes the extra mile to understand my condition and gives me great advice and solutions for a better and healthier life. \n\nThank you. Thank you. \n\nMatt

He knows what he is doing.

I really appreciate that fact that Dr. Watanabe  addresses  any concern I may have.  He throughly explains what should or will be done regarding my health care.  He consistently follows up with any results and has an awesome ""bedside"" manner.', ""Dr. Watanabe is the most personable, knowledgeable personal care physician I've ever had."", 'Excellent job on treatment and understanding situation.

He listens and is very through.  I have been seeing him for 28 years.']"
,
"Dr. Charles Ross, MD","['Visit by ZOOM .. went well. Interesting concept...

Treated very nicely by all!! Dr. Ross is a very caring physician!

The only complaint I have is that it is often hard to get an appointment with Alan, he’s too good and too popular. ?? We are grateful for his friendship and care

My experience is always pleasant. From the beginning to the end, and the ladies at the front desk and friendly, caring and courteous. My doctor is the best, and regardless of my situation, it is always good to see him. He always provide great treatments and information!:)

Friendly. Good visit.', ""Great customer service, from all the staff and Doctor Ross. He always takes the time to explain things to me and answers my questions. He's a great doctor!"", 'He is always the same. Very pleasant and smiling.

Always friendly and committed to your concerns about your health', ""Every thing went good, did not have to wait long (out in the waiting room, or in the back room) this is one of the best visits I've had. Keep up the good work."", 'Dr Ross was great and always greets you with a smile

Very successful visit . The doctor was excellent

Very efficient as always. Easy check-in, short wait time in the lobby and in the waiting room. I love April and Dr Ross.

Dr. Ross is the best. I know I am getting the kind of care and attention I need.

Everything went very well.

All was well

excellent service

Dr. Ross and his nurse helped me with everything I needed!

Everything was excellent

Always well treated and everything fully explained.', ""Best primary care doctor ever. Extremely knowledgeable and caring about patient's health.""]"
,
"Lisa Western, NP","[""We are very fortunate to find this practice. We have had the joy of being seen by Lisa on multiple occasions. When we arrive the office is very clean, the staff is very friendly and courteous. Our average wait time has been less than 5 minutes. Lisa asks a lot of questions and also encourages your own questions and addresses your concerns. When we've needed referrals we were given an explanation as to why it was recommended. When I didn't get a referral I thought I might need she thoroughly explained why it wasn't needed at the moment. We have also used their video visits during COVID. We were seen right away and had our medication called in as well. If I've had a question after the appt I was able to message in the app the office uses and I received a response right away. I also had felt I needed an appt asap and I had an alternate provider and he was amazing as well. I feel that my daughter and myself are in great hands and I highly recommend this practice."", 'Dr. Western is everything one hopes for in a provider and more. She is highly competent and well trained of course. Along with her skill set she is compassionate, communicative, empathetic, sensitive, and extremely organized. \nShe met me where I was and listened to my concerns.   \nShe reported my lab results within 24 hours and initiated consults for follow-up. \nI am already scheduling my next annual exam. \nMy experience with her and her team vastly exceeded my expectations.  I can say as a nurse and a surveyor of healthcare organizations. \nThis is the Place for Care. Thank you!

Very courteous and thorough during the examination. Followed through with my concerns, suggesting further tests, setting them up and phoning me with the results and recommendations within an hour.

Very caring and helpful

Lisa and I have an understanding of common concern. I know about my body and she knows how it is supposed to work. We talk about my concerns and come up with a solution. I enjoy her happy attitude and willingness too listen to what I have to say about my health issues. She is also informed about my insurance and knows how to work with it.

She actually takes the time to listen to your concerns and then follows through if there is something that needs to be done. She is great!!

Dr Lisa is very kind, compassionate and caring. I feel very blessed to be a patient of hers! She has really helped me with all aspects of my complicated situation and I strongly recommend her to ANYONE seeked a primary care physician.

My children and I have been patients of Dr. Lisa Western for the past few years. She has the best bedside manner of anyone I’ve ever seen. I am a rape victim and to say that I hate pelvic exams is an understatement. She isn’t pushy or arrogant. She makes you feel comfortable and answers all your questions while giving you her undivided attention. She has seen us from everything from Asthma, to ADHD meds, to punch biopsies, and even placing my IUD. We have discussed my autistic sons medications many times and she isn’t one to overmedicate or just hand someone a pain pill irresponsibly, which makes me feel much better, knowing that she cares more about the issue going on, and the patient being treated, than just handing them a script and sending them out the door. If you are looking for a new family practice clinic, this place is clean, easy to get into, and you will love Dr. Western. I know we do. ', ""My daughter and I absolutely LOVE Dr. Western.  Dr. Western has been providing me and now my daughter with excellent medical care for over 5 years now.  I wouldn't go to any other doctor.  Dr Western takes a genuine interest in her patients and spends the time necessary to insure quality treatment.  I love the fact that she explains things to her patients in an easy to understand format.  She is just all around awesome  .Her office staff is great.   There is very little wait time to see her when an appointment is scheduled.   I usually spend less than 10 minutes waiting.  "", 'Lisa has been a very helpful doctor . she cares about her patients and their health concerns .  

Best provider by far! The office as a whole is great too, they treat you like a person and not a number or dollar amount! Thank you Millcreek Primary Care for all you do!

The office of Lisa Western (Nurse Practitioner) of Millcreek Primary Care is a excellent office to have your medical needs met and for referrals for specialty needs.  They are in a new office, clean and bright.  Always greet you with a smile and have a positive outlook on all aspects of health and wellness.  It has been a pleasure having Dr. Western serve and meet all my medical needs this past year.  I am so glad I found her!

lisa is the best person i’ve met with. i saw her because i was seriously depressed. most doctors i had seen before just told me to excercise and lose weight. lisa listened to me and worked with me on my insurance and what i was able to do. i now feel stable for the first time in a long time. i can’t recommend her enough. 

DR WESTERN IS AMAZING WHEN IT COMES TO HER PATIENT AND CARE FOR THEM. SHE IS VERY RELAXED AND ALWAYS ON TIME. 

Dr. Western really cares about her patients.  She is easy to talk to, yet direct.  I have recommended 5 patients to her who all absolutely love her.  She has no judgement and makes her patients feel very comfortable.

I have always received caring service with Dr. Western.  I even recommended my mother to her.

Definitely I see an Angel  , in every time I visit  

Excellent knowlwdge and caring...wise beyond her years.

Lisa has all the characteristics of what I feel a good doctor is.  She is concerned about you and your conditions and will go out of her way to make sure you are taken care of in a proper manner.\nI think she is great!\n 

I would highly recommend Lisa Western and the rest of her team.  There are 3 of us presently in our family and we all have Lisa as our primary physician.  She is caring, thorough, and listens to her patients.  She is quick to recommend another option if this is not something in her field.   Give her a try you will be happy you did.  ']"
,
"Jennifer Adoh, NP","['Jennifer takes care of both me and my daughter. She is both professional and personable. Always goes the extra mile to make sure my needs are met. She’s genuinely concerned about me and my daughter as if we were family. This type of doctor and the involvement she displays is really difficult to find. I highly recommend her!

Jennifer is very sweet, always listens to my concerns and never talks over me. She makes me feel so comfortable! I really appreciate her care and concern. My husband and I both have started seeing her!

Jennifer is very knowledgeable but also very kind and personable. She never talks over me or makes me feel stupid. Very thankful for her care and concern! I highly recommend her!

Very kind-hearted, really listens and doesn’t rush. I’ve seen a lot of different doctors and Jennifer really has a way with people. She is thorough which I truly appreciate. Very thankful I’ve found her!!

Jennifer really cares about her patients. Listens and takes time. I appreciate her calm approach and easy going personality. So glad I found her!!

Very thorough, listened, took time with me didn’t make me feel rushed. Great staff too!

Jennifer is a very sweet and kind hearted doctor. She cares very much about what is going on with her patients. She spends as much time as she can and makes sure all needs are met before leaving the appointment. Her and her entire staff are amazing!

So blessed to have found Jennifer. I feel I’m finally getting the care and help I’ve needed for years. She really listens and takes time with me I really appreciate her. Her whole staff are wonderful.

Excellent care and followed up like promised. She is very approachable and easy to talk to.

Great experience really listened really down to earth.

Excellent doctor she really cares really listens wait times are a bit long but she’s worth it.

Friendly and very kind. Always follows up and quickly returns my calls. So glad I found her.

Great care, very down to earth. Glad to find someone who didn’t rush in and out but really took time to listen.

Friendly, approachable actually listened to me instead of just making decisions for me and telling me what I needed.

Very compassionate, really listened to my concerns and didn’t rush me out of the office.

Really listened to my concerns and didn’t discount what I had to say or my feelings. Truly empathetic. So glad I’ve found her! Will definitely be going back.

Polite and personable, very down to earth. Made me feel comfortable even though being at the doctor was the last place I wanted to be!

Great provider really sweet and answered all my questions

Explained everything and didn’t make me feel rushed

Great listener great care']"
,
"Dr. Daniel Casto, MD","['Very good visit.  New patient appointment.   Dr. Castro was very friendly and easy to speak with. He was extremely helpful in answering my questions.

I appreciate Dr. Casto because he takes the time to listen and is concerned with every aspect of your life. I highly recommend him if you are looking for a family Dr.

Dr Casto is a very caring, knowledgeable and very thorough Doctor. I highly recommend!

Simple and easy going. Always straight to the point.

Very knowledgeable Doctor and staff... I would definitely recommend Dr. Casto, and his staff to anybody who needs quality care.

Great doctor. Very friendly and knowledgeable!

Wonderful doctor. Great listener and is not a pushy doctor.

My initial visit with Dr. Casto was through FaceTime due to COVID-19. I was very impressed with his ability and willingness to relate to me as a patient, as well as an individual. He gave my concerns his undivided attention, making thoughtful recommendations and writing necessary doctor’s orders.

My visit with Dr. Casto Vwas very streamlined and he was very attentive to my issue and understanding. He was extremely nice and listened to everything I had to say. The visit felt more like a conversation which was extremely nice. Very satisfied with my visit.

Very easy to talk to. Takes all the time needed to address your medical concerns. Best GP!! \n\nTom Porter

He called me in time. Answered al my questions. Relieved my anxiety.

First visit. Over the phone

Dr. Casto is polite , friendly and easy to talk to. Knowledgeable and listens well.

Had my first virtual office visit, and I was impressed. Dr. Casto addressed all of my concerns it was easy.

Very friendly and professional

It was a video (virtual) visit but I was impressed with the time Dr Casto gave to me and with medical assessment he provided; this was my first ""visit""

Annual Medicare check up.

Dr. Casto is a great Dr. And a very caring person . I highly recommend him as a primary care Dr. He is a good listener and does his best to help you .

Listens and explains!  Sounds very knowledgeable.

Very different doing a video call.  Dr Casto great listener and doctor as always!!']"
,
"Shannon Cournaya, FNP-BC","['Shannon is a very caring compassionate provider that actually listens to your heath care needs and responds promptly and professionally. I refer folks to her at every chance I get!

I recently had my annual Wellness exam with Shannon. She is very thorough, professional, knowledgeable and easy to talk to. She answered my questions and offered recommendation.  Short wait time and friendly staff too.

Shannon is a very caring individual. She takes her time with you in the office to make sure she understands everything that is going on with you.

Compassionate, Listens to concerns and explains treatment plan and testing with great detail . Answers questions when asked and makes sure the patient understands what has been discussed. She is calming and efficient.  I think she is Great !

She is very caring 

Wonderful sweet young lady who truly cares about her patients and listens to their concerns about their health ??????

Great care given to me. I’m very satisfied with level of professionalism and great bedside manner.

Shannon and her staff go above and beyond to make a visit comfortable and welcoming. I always walk out happy that my issue is resolved.

Very nice and considerate. She is a great listener and cares for every single one of her patients! Always very helpful with any questions I need answered! 

Most kind hearted, caring, outgoing person I know. She Keeps My Heart Pumping

Friendly, easy to talk to, and down earth. All the staff in the office is super sweet and welcoming. 

Shannon is very caring, does a great job and allways makes you feel comfortable                                Paul Mccumons    \nMarlette Mi

Shannon is the best. She listens to her patients and has a way of putting you at ease. She will not stop until your problem is figured out . 

Shannon has gone above and beyond to meet my families medical needs. She is very professional and has a wonderful bedside manner.

Shannon is very professional but she goes over and beyond the needs of her patients. I highly recommend her!! 

Shannon would be a excellent choice for anyone! Very personal and caring

The greatest!

Dr. Shannon is wonderful. She takes very good care of my daughter Gabriella and myself. Also her staff is great. Thank you for being our doctor

Shannon is wonderful. She is very honest and great with my whole family.  I would highly recommend her to anyone. She will always try to squeeze you in and her office staff are top notch! They are a great group in that office. 

She is a very knowledgable healthcare provider that is also an awesome person']"
,
"Jane Auxier, PA-C","['Jane has handled A LOT of my care and way more than normal for me ever before on getting fast referrals for places I have been sent to look for an Anemic condition she found on a Routine Physical last May.

Very Good....5 star

Jane is exceptionally pleasant and thorough. She does an excellent job of all health aspect s.

Jane is very knowledgeable and thorough.  I felt very comfortable discussing my healthcare concerns.

All I can say about Jane is SHE IS AWESOME...Attentive and caring...recommends the best specialists....They need more like her there... Jane is a big ole 5 star in my book..\n\nPat, \nPompano Beach

Very satisfied with the service and the attention i was given.

Phone visit to follow-up on a treatment plan. As usual, her recommendations and guidance were very valuable.', ""Jane Auxier has always made the very best decisions & selection of specialists regarding my health care. She is always willing to listen, and returns phone calls promptly. She's the best!"", ""Jane is wonderful! Listens and always explains the situation.  Haven't seen anyone else in years. Don't need to!!"", 'Always the best \nCaring professional

Totally professional from intake to finish. After leaving a small conflict with meditation between heart dr.. Jane called him and fixed the problem.

Caring, professional and knowledgeable!

Jane always treats me with courtesy and patience.

She is the best...right to the point no nonsense! Pleasure having her as my PCP

received the answers to my problem and was satisfied

Dr Jane Auxier is at the top of her game. Always knows what the right answer to a problem is.\nVery knowledgeable and Friendly!

She is very pleasant. I just hope we can control my blood pressure. They are very accommodating.', ""Great visit. I'm glad I switched to the Silverstein group. Very pleasant experience."", 'Jane is amazing!! she has taken care of me and my husband for years now! Very Personable respectful and I trust her with my health and my husbands health she’s always been a really good doctor and I really appreciate her!! And your office staff is awesome thank y’all so much for all your care and dedication over the past several years that I’ve been coming to you guys I appreciate all of you!!!

Jane always takes time to listen and knows what she is doing. I hope everyone has as good as Dr. as Jane is.']"
,
"William Horvath, ARNP","['answer all questions easy relaxed atmosphere

I couldn’t have asked for a better experience. Bill took the time to listen to my concerns and walk me through a treatment plan while explaining everything in a way I could understand. Bill has a bedside manner that is a second to none and I would highly recommend him!!

Bill is a fine , dedicated Nurse Practitioner. He is reassuring and direct. Also, he is knowledgeable with a  good history of experience. Yes I would recommend him without hesitation

They don’t come any better than William (Bill) Horvath. He thinks in and outside the box when it comes to treatment, taking care to give his patient the best care.  Recommend him highly!

great experience. He was very friendly and empathetic. Explained everything in clear terms. Highly recommended!

Just had a visit with Bill, via zoom he was right on time.\nAsked great questions and very engaged.\nYou can tell he really cares for his patients well being.\nLove him and his office staff!!\nTrust him he is Awesome!

Always comfortable and feel relaxed.', ""I have been a patient of Dr. Leif's office for many years and have been impressed by Bill Horvath the last few years. Bill has a wonderful personal manner and is a very good listener. Bill is knowledgeable, very professional and caring.\nI give Bill 5 stars and I have recommended Bill to my friends and family."", 'Friendly and professional. Highly recommend!

WORLD CLASS SERVICE.

William was very pleasant, and put me immediately at ease.   The office visit was on time, and all the staff were very nice to deal with.

My first experience was like talking to a friend that I have had since childhood.   Never in my 47+ years on this earth have a felt so at ease with both Bill and his staff.    ', ""What an unbelievable experience I had today. From the very first phone call to the office to my meeting with Bill nothing could have been done better gone smoother. I was treated like a human being I can't express my gratitude enough and I would recommend Bill Horvath and the office of Matthew Leaf to anyone who can travel to Coral Springs Florida for their valuable assets and care. Thank you, Robin Massin "", 'Bill Horvath made me feel extremely comfortable and at ease at a time when it could have easily been very scary and/or awkward. His bedside manner is friendly, informative and ""down to earth"" and he takes the time to answer any questions and concerns you may have as well as explains procedures, the reason they are being done and what to expects from them. This makes the whole experience much easier to manage especially for a ""first-timer"".

My visit to William ""Bill"" was so much better than expected I was very nervous about my situation and Bill and his staff took the time they needed to with me even though I knew how busy they were. I highly recommend them!

Bill, Is a First Class Professional!!!!!\n

William Horvath does an amazing job. He makes you feel very comfortable, and is very informative. He definitely knows his stuff and I would recommend him immediately to anyone who needs help. 

Bill Horvath was exceptional.  He is very thorough and an extremely competent practitioner.  I would recommend him highly- which I have done to my entire family.  He is very affable and a real person with a fantastic bed-side manner. 

Compassionate and caring. Made me feel very comfortable considering I was in a lot of pain. Easy to talk to. Listens and explains everything', ""First time patient. Easy to talk to Bill Horvath. I felt very comfortable discussing private matters.\n  Bill's assistant Margharita was wonderful and also made me feel comfortable. She is a great asset to the staff.""]"
,
